City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
103,busselton,au,61.0,clear sky,-51.89785766695512,96.2796882901768,
104,ushuaia,ar,66.2,broken clouds,-66.77928882702874,-31.86923946295189,
105,fortuna,us,53.01,clear sky,32.53516640728936,-138.93433138834357,
106,tuatapere,nz,69.01,clear sky,-52.67316131484151,160.17685895052549,
107,hermanus,za,61.0,overcast clouds,-74.86913433786613,10.067276548196254,
108,berlevag,no,23.74,overcast clouds,75.41196403946016,29.902927381179442,
109,punta arenas,cl,60.8,scattered clouds,-79.39120852394561,-120.96069117647663,
110,yulara,au,73.4,clear sky,-23.996324634168552,131.827486592975,
111,mar del plata,ar,69.01,overcast clouds,-57.744084465662574,-36.24512239837132,
112,bluff,nz,69.01,clear sky,-62.133382582402795,170.15067720968688,
114,puerto ayora,ec,73.0,broken clouds,-8.583128442245423,-98.62374306049944,
115,punta arenas,cl,60.8,scattered clouds,-76.94466133963165,-102.00776856057452,
116,cayenne,gf,78.8,clear sky,14.652922594481712,-41.38390436675172,
118,tongchuan,cn,33.67,scattered clouds,35.261569476113785,109.4566106608608,Yingbin Hostel
119,vaini,to,78.8,moderate rain,-76.66642840890921,-176.6686388270801,
120,cidreira,br,73.85,overcast clouds,-38.32709249286281,-43.81523619574008,
121,lerwick,gb,35.6,broken clouds,59.90271781812437,-0.020765343954249785,
122,bluff,nz,69.01,clear sky,-88.49593937992704,175.54072272960002,
123,rikitea,pf,78.26,light rain,-86.26653574063478,-131.24962913960258,
124,tasiilaq,gl,26.6,overcast clouds,52.78444235189991,-32.43442465577784,
125,hamilton,bm,48.99,clear sky,27.95393074259728,-63.040820142622145,
126,rikitea,pf,78.26,light rain,-39.56734124021825,-120.00859812016294,
128,ushuaia,ar,66.2,broken clouds,-82.18949353176464,-65.53094289236651,
129,loreto,mx,59.23,clear sky,25.754266437550157,-111.11531176738687,
132,georgetown,sh,77.0,few clouds,-1.6285898393716731,-23.161536949732003,
133,castro,cl,63.19,scattered clouds,-44.268560310610724,-75.11249408863391,
135,cabo san lucas,mx,75.99,clear sky,8.998633355923921,-118.87360381811123,
136,pilane,bw,73.4,clear sky,-24.574831675959764,26.089884646666214,The Oscar's
137,shimsk,ru,23.54,broken clouds,58.44046935450197,30.83007747346092,
138,omboue,ga,77.61,light rain,-7.218181617513398,2.2063246566778183,
139,vanimo,pg,83.46,light rain,1.6791055159656934,141.79502477203832,
140,severo-kurilsk,ru,25.12,light snow,42.193796203817264,161.2902796015139,
142,mataura,pf,69.01,clear sky,-89.06176814128034,-163.81346019545376,
143,kavieng,pg,85.78,few clouds,8.49206471358541,151.79383047646527,
144,butaritari,ki,81.68,scattered clouds,14.178717857183138,176.87209404368542,
145,busselton,au,61.0,clear sky,-53.796399964573794,91.99456823265284,
147,gondar,et,56.7,scattered clouds,12.994568065855225,37.19322265066335,
148,kinshasa,cd,75.2,overcast clouds,-4.677247199978688,16.28754300057072,
149,opuwo,na,71.11,overcast clouds,-18.169566589079,13.63564961135449,P Wake Guesthouse
150,rawson,ar,75.27,overcast clouds,-45.44137646080078,-61.25471121239728,
151,cabo san lucas,mx,75.99,clear sky,10.86751933909384,-126.74244483157943,
152,touros,br,77.0,broken clouds,-0.5860630490663435,-33.214043865943914,
153,saldanha,za,59.0,clear sky,-35.293966774610254,7.892119734009932,
155,albany,au,32.0,broken clouds,-80.83488217314924,92.21957512868799,
156,severo-kurilsk,ru,25.12,light snow,42.50984077714463,157.68430166814716,
158,butaritari,ki,81.68,scattered clouds,26.965765704539752,171.24988333396857,
159,kodiak,us,37.4,moderate rain,46.05863966790653,-150.27606733143426,
160,elizabeth city,us,39.2,clear sky,33.80151190946501,-71.7134076699423,
161,atuona,pf,79.03,clear sky,4.309439816135802,-134.6157702089357,
163,dingle,ie,78.62,moderate rain,52.23757958259163,-16.929631322119878,
165,albany,au,32.0,broken clouds,-53.56059892340557,111.87595917517126,
166,butaritari,ki,81.68,scattered clouds,5.761032237778653,167.05783854542432,
167,port elizabeth,za,64.4,clear sky,-68.10946964914324,31.30370507848843,
168,taut,ro,41.0,scattered clouds,46.24508242260431,21.901678126760068,POLIGON TAUT
169,muros,es,51.01,light rain,45.8089839797686,-14.747461241149736,
170,rikitea,pf,78.26,light rain,-29.631627444073995,-120.95985058254035,
171,posse,br,72.12,overcast clouds,-14.065667024323506,-45.61337893902528,Igreja de Deus Brejão BA
172,rikitea,pf,78.26,light rain,-81.0177572306978,-134.15683649129028,
173,skjervoy,no,21.78,overcast clouds,72.39526099171934,20.15439972342968,
176,cape town,za,64.99,clear sky,-54.56098957452751,3.296985066045706,
177,busselton,au,61.0,clear sky,-54.8545215757481,88.7576638212594,
178,conceicao do araguaia,br,76.62,light rain,-9.663676152286763,-51.74000993804342,
